Gene_name,geneID,Rep. 1,Rep. 2,Avg. Expression,Rep. A,Rep. B,Avg. Expression,Foldchange,qvalue
Sftpc,NM_011359,0,0,0,0,0,0,0,1
Sgce,NM_011360,0,0,0,0,0,0,0,1
Sgk1,NM_011361,362,253,326,308,307.5,317,1.030894309,3.85E-09
Sh2b1,NM_011363,617,470,293,267,543.5,280,-1.941071429,0.119087829
Sh2d1a,NM_011364,0,0,0,0,0,0,0,1
Itsn2,NM_011365,1640,1028,1170,1103,1334,1136.5,-1.173779147,2.80E-06
Sorbs3,NM_011366,0,1,0,0,0.5,0,0,1
Shbg,NM_011367,0,0,0,0,0,0,0,1
Shc1,NM_011368,2321,1771,984,897,2046,940.5,-2.175438596,0.000230344
Shcbp1,NM_011369,574,357,474,430,465.5,452,-1.029867257,9.64E-09
Cyfip1,NM_011370,2333,1524,1919,1930,1928.5,1924.5,-1.002078462,9.41E-13
St6galnac1,NM_011371,0,0,0,0,0,0,0,1
St6galnac3,NM_011372,0,0,0,0,0,0,0,1
St6galnac4,NM_011373,1309,992,2537,2435,1150.5,2486,2.160799652,9.05E-72
St8sia1,NM_011374,0,0,0,1,0,0.5,0,1
St3gal5,NM_011375,783,548,1813,1789,665.5,1801,2.706235913,4.06E-94
Sim1,NM_011376,0,0,0,0,0,0,0,1
Sim2,NM_011377,1,0,0,0,0.5,0,0,1
Sin3a,NM_011378,1552,1130,609,509,1341,559,-2.398926655,1.50E-06
Sipa1,NM_011379,1712,1290,563,460,1501,511.5,-2.934506354,2.61E-14
Six2,NM_011380,0,0,0,0,0,0,0,1
Six3,NM_011381,0,0,0,0,0,0,0,1
Six4,NM_011382,0,0,0,1,0,0.5,0,1
Six5,NM_011383,56,34,8,13,45,10.5,-4.285714286,0.000274459
Six6,NM_011384,0,0,0,0,0,0,0,1
Ski,NM_011385,1326,937,784,767,1131.5,775.5,-1.459058672,0.20633494
Skil,NM_011386,546,350,788,605,448,696.5,1.5546875,8.08E-33
Slc10a1,NM_011387,0,0,0,0,0,0,0,1
Slc10a2,NM_011388,0,0,0,0,0,0,0,1
Slc12a7,NM_011390,1203,849,1034,892,1026,963,-1.065420561,6.28E-09
Slc16a7,NM_011391,0,0,0,0,0,0,0,1
Slc34a1,NM_011392,0,0,0,2,0,1,0,0.94949084
Slc1a2,NM_011393,1,1,0,1,1,0.5,-2,1
Slc20a2,NM_011394,299,224,68,66,261.5,67,-3.902985075,1.48E-13
Slc22a3,NM_011395,0,0,0,0,0,0,0,1
Slc22a5,NM_011396,154,104,43,39,129,41,-3.146341463,1.95E-05
Slc23a1,NM_011397,5,0,1,1,2.5,1,-2.5,1
Slc25a14,NM_011398,64,43,38,29,53.5,33.5,-1.597014925,1
Slc25a17,NM_011399,625,446,420,423,535.5,421.5,-1.270462633,0.003220804
Slc2a1,NM_011400,953,1045,2265,1714,999,1989.5,1.991491491,1.07E-58
Slc2a3,NM_011401,4,6,2,0,5,1,-5,0.493592685
Slc34a2,NM_011402,0,0,0,0,0,0,0,1
Slc4a1,NM_011403,0,0,0,0,0,0,0,1
Slc7a5,NM_011404,9519,6569,3817,3377,8044,3597,-2.236308034,2.16E-05
Slc7a7,NM_011405,58,31,33,23,44.5,28,-1.589285714,1
Slc8a1,NM_011406,506,303,148,178,404.5,163,-2.481595092,7.74E-05
Slfn1,NM_011407,27,3,2140,2327,15,2233.5,148.9,0
Slfn2,NM_011408,1576,949,15903,15800,1262.5,15851.5,12.55564356,0
Slfn3,NM_011409,842,579,2490,2346,710.5,2418,3.403237157,3.75E-126
Slfn4,NM_011410,383,235,6321,6254,309,6287.5,20.34789644,0
Slit3,NM_011412,0,0,1,0,0,0.5,0,1
C4a,NM_011413,0,0,1,0,0,0.5,0,1
Slpi,NM_011414,327,233,911,807,280,859,3.067857143,8.92E-87
Snai2,NM_011415,0,1,0,0,0.5,0,0,1
Smarca2,NM_011416,602,371,94,94,486.5,94,-5.175531915,3.55E-29
Smarca4,NM_011417,2151,1404,1501,1167,1777.5,1334,-1.332458771,0.00482573
Smarcb1,NM_011418,512,373,234,265,442.5,249.5,-1.773547094,0.819808164
Kdm5d,NM_011419,0,0,0,0,0,0,0,1
Smn1,NM_011420,705,540,303,313,622.5,308,-2.021103896,0.032385852
Smpd1,NM_011421,173,117,63,49,145,56,-2.589285714,0.001916846
Smr3a,NM_011422,0,0,0,0,0,0,0,1
Ncor2,NM_011424,1629,1047,448,389,1338,418.5,-3.197132616,3.59E-17
Sstr5,NM_011425,1,1,1,1,1,1,1,1
Siglec1,NM_011426,674,421,897,788,547.5,842.5,1.538812785,4.24E-34
Snai1,NM_011427,0,1,1,0,0.5,0.5,1,1
Snap25,NM_011428,0,0,0,0,0,0,0,1
Sncg,NM_011430,0,1,0,0,0.5,0,0,1
Eftud2,NM_011431,1390,910,654,648,1150,651,-1.766513057,0.830391215
Snrpc,NM_011432,469,328,292,245,398.5,268.5,-1.484171322,0.471667861
Sod1,NM_011434,686,622,349,342,654,345.5,-1.892908828,0.133884623
Sod3,NM_011435,0,0,0,0,0,0,0,1
Sorl1,NM_011436,1365,953,1119,1058,1159,1088.5,-1.064768029,3.40E-09
Sox10,NM_011437,1,1,0,0,1,0,0,0.94949084
Sox12,NM_011438,10,9,0,2,9.5,1,-9.5,0.023416503
Sox13,NM_011439,0,0,0,0,0,0,0,1
Sox14,NM_011440,0,0,0,0,0,0,0,1
Sox17,NM_011441,0,0,0,0,0,0,0,1
Sox2,NM_011443,0,0,0,0,0,0,0,1
Sox5,NM_011444,1,1,0,0,1,0,0,0.94949084
Sox6,NM_011445,0,0,0,0,0,0,0,1
Sox7,NM_011446,0,0,0,0,0,0,0,1
Sox8,NM_011447,0,0,0,0,0,0,0,1
Sox9,NM_011448,0,0,0,0,0,0,0,1
Spa17,NM_011449,10,2,0,3,6,1.5,-4,0.56703411
Sphk1,NM_011451,5,5,1,0,5,0.5,-10,0.26158371
Serpinb9b,NM_011452,7,7,12,12,7,12,1.714285714,0.012259817
Serpinb9c,NM_011453,0,0,0,0,0,0,0,1
Serpinb6b,NM_011454,221,177,140,158,199,149,-1.33557047,0.111275993
Serpinb9g,NM_011455,0,0,0,0,0,0,0,1
Serpinb9e,NM_011456,0,0,0,0,0,0,0,1
Serpina3k,NM_011458,0,0,0,0,0,0,0,1
Serpinb8,NM_011459,167,126,60,63,146.5,61.5,-2.382113821,0.009517344
Serpinb9d,NM_011460,0,0,0,0,0,0,0,1
Spic,NM_011461,0,0,1,0,0,0.5,0,1
Spin1,NM_011462,2355,1668,1372,1391,2011.5,1381.5,-1.456026059,0.162134611
Spink4,NM_011463,1,0,0,0,0.5,0,0,1
Spint2,NM_011464,0,0,0,1,0,0.5,0,1
Spna1,NM_011465,0,0,0,0,0,0,0,1
Spr,NM_011467,616,460,185,157,538,171,-3.14619883,1.93E-12
Sprr2a1,NM_011468,0,0,0,0,0,0,0,1
Sprr2b,NM_011469,0,0,0,0,0,0,0,1
Sprr2d,NM_011470,0,0,0,0,0,0,0,1
Sprr2e,NM_011471,0,0,0,0,0,0,0,1
Sprr2f,NM_011472,0,0,0,0,0,0,0,1
Sprr2h,NM_011474,0,0,0,0,0,0,0,1
Sprr2i,NM_011475,0,0,0,0,0,0,0,1
Sprr2k,NM_011477,0,0,0,0,0,0,0,1
Sprr3,NM_011478,0,0,0,0,0,0,0,1
Sptlc2,NM_011479,1118,777,1089,997,947.5,1043,1.100791557,6.84E-16
Srebf1,NM_011480,2085,1471,724,618,1778,671,-2.649776453,3.03E-10
Srms,NM_011481,0,0,1,1,0,1,0,0.94949084
Nhp2l1,NM_011482,3911,2852,2147,1945,3381.5,2046,-1.652737048,1
Znrf4,NM_011483,0,0,0,0,0,0,0,1
Stam,NM_011484,709,516,342,318,612.5,330,-1.856060606,0.339377656
Star,NM_011485,99,55,18,10,77,14,-5.5,1.18E-08
Stat3,NM_011486,1257,938,2278,2240,1097.5,2259,2.058314351,2.87E-66
Stat4,NM_011487,1,0,0,0,0.5,0,0,1
Stat5a,NM_011488,316,219,126,111,267.5,118.5,-2.257383966,0.007259672
Stat5b,NM_011489,865,609,620,624,737,622,-1.18488746,3.84E-05
Stau1,NM_011490,1250,829,1205,1007,1039.5,1106,1.063973064,1.41E-14
Stc2,NM_011491,970,675,238,279,822.5,258.5,-3.181818182,1.00E-14
Stk11,NM_011492,599,494,293,287,546.5,290,-1.884482759,0.205755813
Stk16,NM_011494,556,352,245,236,454,240.5,-1.887733888,0.340118457
Plk4,NM_011495,1085,701,888,996,893,942,1.054871221,5.64E-14
Aurkb,NM_011496,1239,917,406,426,1078,416,-2.591346154,1.48E-08
Aurka,NM_011497,2820,1958,902,744,2389,823,-2.902794654,1.11E-14
Bhlhe40,NM_011498,834,653,377,315,743.5,346,-2.148843931,0.002165609
Strap,NM_011499,2810,1967,1342,1273,2388.5,1307.5,-1.826768642,0.340652582
Strn,NM_011500,753,472,455,488,612.5,471.5,-1.299045599,0.004220964
Stx3,NM_011502,354,209,209,228,281.5,218.5,-1.288329519,0.012618256
Stxbp2,NM_011503,693,543,380,364,618,372,-1.661290323,1
Stxbp3a,NM_011504,413,239,990,907,326,948.5,2.909509202,3.31E-86
Stxbp4,NM_011505,216,141,52,37,178.5,44.5,-4.011235955,9.04E-11
Sucla2,NM_011506,868,619,387,376,743.5,381.5,-1.948885976,0.093250657
Suclg2,NM_011507,1527,992,622,570,1259.5,596,-2.113255034,0.00372939
Eif1,NM_011508,5198,3761,4041,3992,4479.5,4016.5,-1.115274493,1.94E-08
Gm3258,NM_011509,0,0,0,0,0,0,0,1
Abcc8,NM_011510,1409,1009,538,485,1209,511.5,-2.363636364,6.15E-06
Abcc9,NM_011511,3,1,0,1,2,0.5,-4,1
Surf4,NM_011512,5989,4286,6475,6312,5137.5,6393.5,1.244476886,2.13E-26
Med22,NM_011513,471,362,94,85,416.5,89.5,-4.653631285,1.02E-23
Suv39h1,NM_011514,916,637,409,409,776.5,409,-1.898533007,0.193578076
Vamp7,NM_011515,266,164,147,147,215,147,-1.462585034,0.429082956
Sycp1,NM_011516,0,0,1,0,0,0.5,0,1
Sycp3,NM_011517,4,4,0,1,4,0.5,-8,0.606055843
Sykb,NM_011518,2818,2026,4244,4259,2422,4251.5,1.755367465,4.87E-54
Sdc1,NM_011519,758,524,88,84,641,86,-7.453488372,8.67E-52
Sdc3,NM_011520,2493,2073,5416,4970,2283,5193,2.274638633,1.93E-80
Sdc4,NM_011521,2509,1555,16305,15203,2032,15754,7.752952756,3.81E-273
Syngr3,NM_011522,8,3,0,0,5.5,0,0,0.012272153
Synj2,NM_011523,713,493,285,216,603,250.5,-2.407185629,2.99E-05
Tagln,NM_011526,17,15,24,30,16,27,1.6875,5.44E-05
Tal1,NM_011527,953,635,283,281,794,282,-2.815602837,4.15E-10
Taldo1,NM_011528,1419,1108,755,691,1263.5,723,-1.74757953,0.763138153
Tank,NM_011529,1380,801,3377,3517,1090.5,3447,3.160935351,1.92E-122
Tap2,NM_011530,365,191,1061,1111,278,1086,3.90647482,4.56E-118
Tbx1,NM_011532,0,0,0,2,0,1,0,0.94949084
Tbx10,NM_011533,0,0,0,0,0,0,0,1
Tbx3,NM_011535,0,0,0,0,0,0,0,1
Tbx4,NM_011536,0,0,0,0,0,0,0,1
Tbx5,NM_011537,0,0,0,0,0,0,0,1
Tbx6,NM_011538,0,0,0,0,0,0,0,1
Tbxas1,NM_011539,52,24,86,61,38,73.5,1.934210526,1.04E-13
Tcap,NM_011540,0,0,1,4,0,2.5,0,0.082790154
Tcea1,NM_011541,4079,2487,4790,5125,3283,4957.5,1.510051782,3.67E-42
Tcea3,NM_011542,3,0,0,0,1.5,0,0,0.94949084
Skp1a,NM_011543,1816,1393,716,747,1604.5,731.5,-2.193438141,0.000213489
Tcf12,NM_011544,2705,1767,593,543,2236,568,-3.936619718,1.30E-31
Tcf21,NM_011545,0,0,0,0,0,0,0,1
Zeb1,NM_011546,20,12,4,4,16,4,-4,0.082926055
Tcfap2a,NM_011547,40,28,14,10,34,12,-2.833333333,0.094864221
Tcf3,NM_011548,467,317,89,79,392,84,-4.666666667,1.11E-22
Tcfeb,NM_011549,196,156,14,14,176,14,-12.57142857,1.37E-32
Mlx,NM_011550,1057,833,720,580,945,650,-1.453846154,0.261869979
Ubtf,NM_011551,1422,964,130,158,1193,144,-8.284722222,5.69E-75
Tcof1,NM_011552,4082,2614,2821,2679,3348,2750,-1.217454545,1.19E-05
Tcp10b,NM_011553,0,0,0,0,0,0,0,1
Tcte3,NM_011560,2,1,0,0,1.5,0,0,0.94949084
Tdg,NM_011561,2281,1516,1795,1794,1898.5,1794.5,-1.057954862,2.94E-10
Tdgf1,NM_011562,0,0,0,0,0,0,0,1
Prdx2,NM_011563,1987,1390,838,786,1688.5,812,-2.079433498,0.004271345
Sry,NM_011564,0,0,0,0,0,0,0,1
Tead2,NM_011565,3,1,1,1,2,1,-2,1
Tead3,NM_011566,0,0,0,0,0,0,0,1
Tead4,NM_011567,0,0,0,0,0,0,0,1
Thoc4,NM_011568,871,539,368,312,705,340,-2.073529412,0.019641245
Tekt1,NM_011569,0,0,0,0,0,0,0,1
Tesk1,NM_011571,436,316,203,164,376,183.5,-2.049046322,0.046504259
Tex264,NM_011573,708,537,258,286,622.5,272,-2.288602941,0.000255283
Cirh1a,NM_011574,2682,2017,1223,1127,2349.5,1175,-1.999574468,0.014082914
Tff3,NM_011575,0,0,0,0,0,0,0,1
Tfpi,NM_011576,9,5,10,14,7,12,1.714285714,0.012259817
Tgfb1,NM_011577,2028,1352,1307,1132,1690,1219.5,-1.385813858,0.028116585
Tgfbr3,NM_011578,0,0,0,0,0,0,0,1
Tgtp1,NM_011579,8,2,1122,1273,5,1197.5,239.5,0
Thbs1,NM_011580,11,9,13,6,10,9.5,-1.052631579,0.456206651
Thbs2,NM_011581,0,0,0,0,0,0,0,1
Thbs4,NM_011582,0,0,1,0,0,0.5,0,1
Theg,NM_011583,0,0,0,0,0,0,0,1
Nr1d2,NM_011584,1116,748,295,267,932,281,-3.316725979,5.13E-17
Tia1,NM_011585,414,258,150,133,336,141.5,-2.374558304,0.000806727
Myo18a,NM_011586,731,421,375,299,576,337,-1.709198813,1
Tie1,NM_011587,0,0,0,0,0,0,0,1
Trim28,NM_011588,2156,1649,476,419,1902.5,447.5,-4.251396648,7.57E-37
Timeless,NM_011589,739,453,1386,1219,596,1302.5,2.185402685,4.79E-66
Timm17a,NM_011590,870,512,460,439,691,449.5,-1.537263626,0.564314907
Timm17b,NM_011591,100,69,48,45,84.5,46.5,-1.817204301,1
Timm44,NM_011592,1193,958,768,778,1075.5,773,-1.391332471,0.068820918
Timp1,NM_011593,1,1,0,0,1,0,0,0.94949084
Timp2,NM_011594,1258,943,112,97,1100.5,104.5,-10.53110048,9.76E-90
Timp3,NM_011595,0,0,0,0,0,0,0,1
Atp6v0a2,NM_011596,462,286,283,214,374,248.5,-1.505030181,0.529350574
Tjp2,NM_011597,1305,824,480,506,1064.5,493,-2.159229209,0.002085413
Fabp9,NM_011598,0,0,1,0,0,0.5,0,1
Tle1,NM_011599,88,68,24,14,78,19,-4.105263158,2.55E-06
Tle4,NM_011600,1281,817,618,605,1049,611.5,-1.715453802,1
Tln1,NM_011602,1878,1255,1484,1278,1566.5,1381,-1.134322954,2.37E-07
Tbpl1,NM_011603,1764,1153,684,661,1458.5,672.5,-2.168773234,0.00089239
Tlr6,NM_011604,290,204,344,341,247,342.5,1.386639676,3.99E-20
Tmpo,NM_011605,1826,1210,880,892,1518,886,-1.713318284,1
Clec3b,NM_011606,1,0,1,0,0.5,0.5,1,1
Tnc,NM_011607,0,0,0,0,0,0,0,1
Tnfrsf17,NM_011608,2,2,0,0,2,0,0,0.531327076
Tnfrsf1a,NM_011609,1760,1227,2730,2640,1493.5,2685,1.797790425,1.06E-54
Tnfrsf1b,NM_011610,2200,1625,8206,10533,1912.5,9369.5,4.899084967,4.47E-191
Cd40,NM_011611,136,45,7046,6992,90.5,7019,77.55801105,0
Tnfrsf9,NM_011612,9,12,9,7,10.5,8,-1.3125,1
Tnfsf11,NM_011613,0,0,0,0,0,0,0,1
Tnfsf12,NM_011614,45,25,8,7,35,7.5,-4.666666667,0.000744082
Dedd,NM_011615,674,523,495,481,598.5,488,-1.226434426,0.000653776
Cd40lg,NM_011616,0,0,0,0,0,0,0,1
Cd70,NM_011617,0,0,0,0,0,0,0,1
Tnnt1,NM_011618,2,2,0,1,2,0.5,-4,1
Tnnt2,NM_011619,0,0,0,0,0,0,0,1
Tnnt3,NM_011620,0,0,0,0,0,0,0,1
Tom1,NM_011622,1368,1000,697,578,1184,637.5,-1.857254902,0.241879786
Top2a,NM_011623,3796,2344,2321,2351,3070,2336,-1.314212329,0.001181537
Top3b,NM_011624,388,306,198,199,347,198.5,-1.748110831,0.94949084
Ppp1r13b,NM_011625,208,169,281,258,188.5,269.5,1.429708223,1.02E-18
Tmem165,NM_011626,919,636,531,505,777.5,518,-1.500965251,0.438881029
Tpbg,NM_011627,0,0,0,2,0,1,0,0.94949084
Nr2c1,NM_011629,172,105,66,69,138.5,67.5,-2.051851852,0.24269821
Nr2c2,NM_011630,1561,1007,623,632,1284,627.5,-2.046215139,0.014993606
Hsp90b1,NM_011631,8064,5117,5408,4862,6590.5,5135,-1.283446933,0.000257731
Traf3,NM_011632,1288,862,451,427,1075,439,-2.448747153,1.36E-06
Traf5,NM_011633,57,44,27,28,50.5,27.5,-1.836363636,1
Traip,NM_011634,237,159,70,78,198,74,-2.675675676,0.000129083
Trap1a,NM_011635,20,12,9,4,16,6.5,-2.461538462,0.604944764
Plscr1,NM_011636,354,244,432,445,299,438.5,1.466555184,5.19E-25
Trex1,NM_011637,471,351,2254,2085,411,2169.5,5.278588808,1.27E-169
Tfrc,NM_011638,13426,8612,4069,3941,11019,4005,-2.751310861,2.24E-13
Trip6,NM_011639,48,47,35,28,47.5,31.5,-1.507936508,1
Trp53,NM_011640,2491,1700,1376,1177,2095.5,1276.5,-1.64159812,1
Trp63,NM_011641,0,0,0,0,0,0,0,1
Trp73,NM_011642,0,0,0,0,0,0,0,1
Trpc1,NM_011643,0,0,0,0,0,0,0,1
Trpc2,NM_011644,37,28,19,17,32.5,18,-1.805555556,1
Prss3,NM_011645,0,0,0,0,0,0,0,1
Try4,NM_011646,0,0,0,0,0,0,0,1
Tsc2,NM_011647,807,538,289,252,672.5,270.5,-2.486136784,3.83E-06
Tshr,NM_011648,0,0,0,0,0,0,0,1
Tsn,NM_011650,3570,2390,1299,1288,2980,1293.5,-2.303826826,8.16E-06
Tsks,NM_011651,1,0,0,0,0.5,0,0,1
Ttn,NM_011652,8,4,7,5,6,6,1,0.646655244
Tuba1a,NM_011653,1150,950,3502,2940,1050,3221,3.067619048,1.06E-113
Tuba1b,NM_011654,9262,7513,3951,3432,8387.5,3691.5,-2.272111608,2.36E-06
Tubb5,NM_011655,19059,14573,11163,9418,16816,10290.5,-1.634128565,1
Tuft1,NM_011656,206,131,65,53,168.5,59,-2.855932203,4.97E-05
Tulp3,NM_011657,382,312,364,280,347,322,-1.077639752,4.87E-06
Twist1,NM_011658,0,0,0,0,0,0,0,1
Tnfrsf4,NM_011659,1,1,1,4,1,2.5,2.5,0.291005127
Txn1,NM_011660,816,564,700,564,690,632,-1.091772152,1.90E-07
Tyr,NM_011661,19,27,19,16,23,17.5,-1.314285714,0.984071573
Tyrobp,NM_011662,2539,1887,857,846,2213,851.5,-2.598943042,5.57E-10
Zrsr1,NM_011663,4,0,2,4,2,3,1.5,0.705936308
Ubb,NM_011664,7758,6421,10191,9075,7089.5,9633,1.358770012,3.73E-32
Ube2i,NM_011665,1865,1432,641,655,1648.5,648,-2.543981481,7.76E-09
Uba3,NM_011666,1349,945,832,828,1147,830,-1.381927711,0.035749929
Ube1y1,NM_011667,0,0,0,0,0,0,0,1
Ube3a,NM_011668,2046,1220,1140,1290,1633,1215,-1.344032922,0.004753607
Usp12,NM_011669,1751,1241,3630,3530,1496,3580,2.393048128,4.52E-86
Uchl1,NM_011670,11,10,9,11,10.5,10,-1.05,0.477482459
Ucp2,NM_011671,2762,2038,1003,839,2400,921,-2.605863192,3.15E-10
Ufd1l,NM_011672,550,396,380,326,473,353,-1.339943343,0.031836003
Ugcg,NM_011673,641,424,704,655,532.5,679.5,1.276056338,1.76E-21
Ugt8a,NM_011674,0,0,0,0,0,0,0,1
Uck1,NM_011675,790,574,367,328,682,347.5,-1.962589928,0.077029396
Unc119,NM_011676,986,717,164,120,851.5,142,-5.996478873,4.51E-47
Ung,NM_011677,270,170,24,17,220,20.5,-10.73170732,9.34E-35
Usp4,NM_011678,1148,860,1012,898,1004,955,-1.051308901,3.17E-09
Usf2,NM_011680,1284,897,329,354,1090.5,341.5,-3.193265007,3.02E-16
Scgb1a1,NM_011681,0,0,0,0,0,0,0,1
Utrn,NM_011682,354,233,496,432,293.5,464,1.580919932,1.62E-29
Vmn1r51,NM_011683,0,0,0,0,0,0,0,1
Vmn1r45,NM_011684,0,0,0,0,0,0,0,1
Vmn2r88,NM_011686,0,0,0,0,0,0,0,1
Vars,NM_011690,1613,1107,722,654,1360,688,-1.976744186,0.041352888
Vav1,NM_011691,1012,736,962,903,874,932.5,1.066933638,5.85E-14
Vbp1,NM_011692,1149,664,851,838,906.5,844.5,-1.073416223,4.68E-09
Vcam1,NM_011693,0,0,2,6,0,4,0,0.012272153
Vdac1,NM_011694,6144,4258,2593,2406,5201,2499.5,-2.080816163,0.002037064
Vdac2,NM_011695,5039,3475,2931,2990,4257,2960.5,-1.437932782,0.086147908
Vdac3,NM_011696,1770,1170,902,830,1470,866,-1.697459584,1
Vegfb,NM_011697,1001,746,339,290,873.5,314.5,-2.777424483,2.50E-10
Lin7b,NM_011698,3,2,1,3,2.5,2,-1.25,1
Lin7c,NM_011699,5381,3332,2754,2665,4356.5,2709.5,-1.607861229,1
Vill,NM_011700,1,2,0,0,1.5,0,0,0.531327076
Vim,NM_011701,11786,9880,20447,18569,10833,19508,1.800793871,1.06E-57
Vip,NM_011702,0,0,0,0,0,0,0,1
Vipr1,NM_011703,54,25,11,6,39.5,8.5,-4.647058824,0.000369851
Vnn1,NM_011704,0,0,0,0,0,0,0,1
Vrk1,NM_011705,567,330,245,307,448.5,276,-1.625,1
Trpv2,NM_011706,2272,1792,2516,2515,2032,2515.5,1.237942913,3.90E-24
Vtn,NM_011707,0,0,0,0,0,0,0,1
Vwf,NM_011708,101,100,52,66,100.5,59,-1.703389831,1
Wap,NM_011709,0,0,0,0,0,0,0,1
Wars,NM_011710,1190,907,2086,2027,1048.5,2056.5,1.961373391,1.11E-60
Fmnl3,NM_011711,424,287,189,181,355.5,185,-1.921621622,0.262820841
Wbp5,NM_011712,1295,903,704,665,1099,684.5,-1.605551497,1
Baz1b,NM_011714,4572,2864,2730,2650,3718,2690,-1.382156134,0.013998343
Wdr1,NM_011715,5034,3644,5094,4429,4339,4761.5,1.097372667,4.40E-18
Wfs1,NM_011716,321,250,374,322,285.5,348,1.218914186,8.50E-15
Wiz,NM_011717,893,585,353,334,739,343.5,-2.151382824,0.003927593
Wnt10b,NM_011718,3,0,0,0,1.5,0,0,0.94949084
Wnt9b,NM_011719,0,0,0,0,0,0,0,1
Wnt8b,NM_011720,0,0,0,0,0,0,0,1
Wrn,NM_011721,236,134,213,191,185,202,1.091891892,3.36E-09
Dctn6,NM_011722,318,235,122,107,276.5,114.5,-2.414847162,0.000599378
Xdh,NM_011723,279,177,485,513,228,499,2.188596491,6.94E-50
Xirp1,NM_011724,1,3,1,6,2,3.5,1.75,0.336105998
Xlr,NM_011725,0,0,0,0,0,0,0,1
Xlr3c,NM_011727,0,0,0,0,0,0,0,1
Xpa,NM_011728,32,22,7,6,27,6.5,-4.153846154,0.007902042
Ercc5,NM_011729,194,131,67,56,162.5,61.5,-2.642276423,0.000601865
Slc6a20b,NM_011731,0,0,0,0,0,0,0,1
Ybx1,NM_011732,11233,8355,6743,6266,9794,6504.5,-1.505726805,0.39194927
Csda,NM_011733,4927,3240,1949,1907,4083.5,1928,-2.117997925,0.001165622
Siae,NM_011734,471,392,114,109,431.5,111.5,-3.869955157,5.77E-18
Ysk4,NM_011737,5,1,3,4,3,3.5,1.166666667,0.56703411
Ywhah,NM_011738,5904,4313,5427,5224,5108.5,5325.5,1.042478223,2.34E-15
Ywhaq,NM_011739,9372,6902,4268,4353,8137,4310.5,-1.887716042,0.099804901
Ywhaz,NM_011740,8755,5772,8667,8296,7263.5,8481.5,1.167687754,7.94E-23
Zan,NM_011741,464,389,42,34,426.5,38,-11.22368421,1.87E-57
Zfp1,NM_011742,272,162,99,105,217,102,-2.12745098,0.070115463
Zfp106,NM_011743,17568,11493,8228,7976,14530.5,8102,-1.793446063,0.532723734
Mkrn3,NM_011746,8,2,2,2,5,2,-2.5,1
Zfp13,NM_011747,1,2,2,1,1.5,1.5,1,1
Zfp14,NM_011748,26,32,20,18,29,19,-1.526315789,1
Zfp148,NM_011749,2290,1540,854,916,1915,885,-2.163841808,0.00065026
Sf1,NM_011750,3264,2264,1918,1886,2764,1902,-1.45320715,0.136223312
Zfp207,NM_011751,3596,2542,2234,2266,3069,2250,-1.364,0.01293472
Zfp259,NM_011752,622,420,217,237,521,227,-2.295154185,0.000580429
Zfp26,NM_011753,638,422,420,448,530,434,-1.221198157,0.000389874
Zfp27,NM_011754,282,218,242,224,250,233,-1.072961373,1.52E-05
Zfp35,NM_011755,609,426,173,247,517.5,210,-2.464285714,1.91E-05
Zfp36,NM_011756,666,343,17331,12912,504.5,15121.5,29.97324083,0
Zscan21,NM_011757,331,274,154,133,302.5,143.5,-2.108013937,0.025469461
Zfp39,NM_011758,125,83,48,55,104,51.5,-2.019417476,0.375107891
Zfp41,NM_011759,50,44,2,6,47,4,-11.75,2.18E-10
Zfp54,NM_011760,96,58,30,44,77,37,-2.081081081,0.388922488
Zfp59,NM_011762,177,173,79,120,175,99.5,-1.75879397,0.910207295
Zfp9,NM_011763,7,3,4,3,5,3.5,-1.428571429,1
Zfp90,NM_011764,262,182,100,104,222,102,-2.176470588,0.03110462
Zfp97,NM_011765,64,45,35,36,54.5,35.5,-1.535211268,1
Zfpm2,NM_011766,21,17,4,1,19,2.5,-7.6,0.001309021
Zfr,NM_011767,1559,1071,1030,1051,1315,1040.5,-1.263815473,0.000477836
Zfx,NM_011768,1929,1312,1002,1022,1620.5,1012,-1.601284585,1
Zim1,NM_011769,0,0,0,0,0,0,0,1
Ikzf2,NM_011770,0,0,0,0,0,0,0,1
Ikzf3,NM_011771,0,0,0,0,0,0,0,1
Ikzf4,NM_011772,0,0,0,0,0,0,0,1
Slc30a3,NM_011773,0,0,0,0,0,0,0,1
Slc30a4,NM_011774,2619,1827,2373,2493,2223,2433,1.094466937,1.92E-17
Zp2,NM_011775,0,0,0,0,0,0,0,1
Zp3,NM_011776,0,0,0,0,0,0,0,1
Zyx,NM_011777,758,557,3138,2049,657.5,2593.5,3.944486692,9.89E-146
Coro1b,NM_011778,1434,1212,1419,1306,1323,1362.5,1.029856387,1.24E-12
Coro1c,NM_011779,6596,4861,3063,2622,5728.5,2842.5,-2.01530343,0.007129679
Adam23,NM_011780,0,0,0,0,0,0,0,1
Adam25,NM_011781,0,0,0,0,0,0,0,1
Adamts5,NM_011782,0,0,0,0,0,0,0,1
Agr2,NM_011783,0,0,0,0,0,0,0,1
Aplnr,NM_011784,0,0,0,0,0,0,0,1
Akt3,NM_011785,974,716,1787,1803,845,1795,2.124260355,9.42E-68
Aloxe3,NM_011786,6,4,6,4,5,5,1,0.738210421
Amfr,NM_011787,2093,1467,855,967,1780,911,-1.953896817,0.052991771
Apc2,NM_011789,7,5,7,2,6,4.5,-1.333333333,1
