Gene_name,geneID,Rep. 1,Rep. 2,Avg. Expression,Rep. A,Rep. B,Avg. Expression,Foldchange,qvalue
Mars,NM_001003913,1468,1101,870,777,1284.5,823.5,-1.559805707,0.914953023
Slc5a12,NM_001003915,0,0,0,0,0,0,0,1
Zc4h2,NM_001003916,103,55,23,27,79,25,-3.16,0.000830882
Atg9a,NM_001003917,504,432,298,279,468,288.5,-1.622183709,1
Usp7,NM_001003918,1966,1336,1266,1111,1651,1188.5,-1.389145982,0.033050365
Ddx11,NM_001003919,295,233,108,93,264,100.5,-2.626865672,2.69E-05
Brsk1,NM_001003920,1,2,0,0,1.5,0,0,0.531327076
Rtn3,NM_001003933,5476,3753,3692,3626,4614.5,3659,-1.261136923,0.000144473
Rtn3,NM_001003934,5476,3753,3692,3626,4614.5,3659,-1.261136923,0.000144473
BC030307,NM_001003939,20,14,7,7,17,7,-2.428571429,0.52097422
Cyp4x1,NM_001003947,0,0,0,0,0,0,0,1
Pid1,NM_001003948,786,579,353,406,682.5,379.5,-1.798418972,0.586107667
ORF61,NM_001003949,641,405,182,209,523,195.5,-2.675191816,3.40E-07
Rab3ip,NM_001003950,308,221,261,281,264.5,271,1.024574669,2.25E-08
Ces5a,NM_001003951,0,0,0,0,0,0,0,1
Sval3,NM_001003952,0,0,0,0,0,0,0,1
Kdm2b,NM_001003953,1281,839,163,153,1060,158,-6.708860759,1.15E-57
Rab11fip5,NM_001003955,1217,926,296,250,1071.5,273,-3.924908425,1.50E-26
Dnmt3b,NM_001003960,24,14,16,17,19,16.5,-1.151515152,0.364048674
Dnmt3b,NM_001003961,24,14,16,17,19,16.5,-1.151515152,0.364048674
Dnmt3b,NM_001003963,24,14,15,16,19,15.5,-1.225806452,0.606596037
Senp7,NM_001003971,388,231,358,274,309.5,316,1.021001616,3.84E-09
Senp7,NM_001003972,59,50,57,65,54.5,61,1.119266055,0.000168718
Senp7,NM_001003973,59,50,57,65,54.5,61,1.119266055,0.000168718
Ppp3r2,NM_001004025,0,0,0,0,0,0,0,1
Fam170a,NM_001004061,0,0,0,0,0,0,0,1
Crtc1,NM_001004062,608,465,168,125,536.5,146.5,-3.662116041,1.02E-17
Zfp386,NM_001004066,405,291,214,213,348,213.5,-1.629976581,1
Zfp619,NM_001004139,45,17,31,35,31,33,1.064516129,0.007773969
Ckap2,NM_001004140,584,376,144,143,480,143.5,-3.344947735,2.61E-13
Cyp2j11,NM_001004141,0,0,0,0,0,0,0,1
Nlrp1a,NM_001004142,622,412,200,167,517,183.5,-2.817438692,1.06E-08
Usp22,NM_001004143,1817,1331,1127,1050,1574,1088.5,-1.446026642,0.156911901
Git1,NM_001004144,2658,2091,794,710,2374.5,752,-3.157579787,1.82E-19
Nlrp4g,NM_001004145,0,0,0,0,0,0,0,1
Fbll1,NM_001004147,0,0,0,0,0,0,0,1
Slc13a5,NM_001004148,0,0,0,0,0,0,0,1
Zfp366,NM_001004149,0,0,0,0,0,0,0,1
A4galt,NM_001004150,0,0,0,0,0,0,0,1
Rtp1,NM_001004151,0,0,0,0,0,0,0,1
Psg22,NM_001004152,0,0,0,0,0,0,0,1
AU018091,NM_001004153,0,0,0,0,0,0,0,1
Rragb,NM_001004154,0,0,0,0,0,0,0,1
9930012K11Rik,NM_001004155,82,45,12,9,63.5,10.5,-6.047619048,5.29E-08
Plekhg5,NM_001004156,111,74,5,2,92.5,3.5,-26.42857143,7.11E-25
